account_a,account_b,is_same_operator,note
acc_018,acc_107,0,
acc_042,acc_064,0,
acc_003,acc_116,0,
acc_061,acc_105,0,
acc_024,acc_025,1,same_operator
acc_064,acc_080,0,
acc_060,acc_109,0,
acc_101,acc_102,1,same_operator
acc_032,acc_059,0,
acc_032,acc_040,0,
acc_057,acc_118,0,
acc_009,acc_120,0,
acc_100,acc_129,0,PLANTED_DECOY
acc_020,acc_063,0,
acc_016,acc_022,0,
acc_002,acc_003,1,same_operator
acc_057,acc_084,0,
acc_020,acc_116,0,
acc_045,acc_105,0,
acc_040,acc_104,0,
acc_020,acc_082,0,
acc_012,acc_091,0,
acc_059,acc_107,0,
acc_039,acc_066,0,
acc_033,acc_041,0,
acc_053,acc_118,0,
acc_052,acc_083,0,
acc_008,acc_066,0,
acc_051,acc_069,0,
acc_053,acc_088,0,
acc_022,acc_125,0,
acc_032,acc_033,1,same_operator
acc_074,acc_114,0,
acc_085,acc_087,1,same_operator
acc_102,acc_113,0,
acc_056,acc_099,0,
acc_036,acc_053,0,
acc_096,acc_097,1,same_operator
acc_016,acc_099,0,
acc_074,acc_088,0,
acc_094,acc_102,0,
acc_052,acc_053,1,same_operator
acc_030,acc_042,0,
acc_036,acc_089,0,
acc_127,acc_128,1,same_operator
acc_015,acc_111,0,
acc_064,acc_067,0,
acc_033,acc_089,0,
acc_082,acc_098,0,
acc_047,acc_104,0,
acc_114,acc_115,1,same_operator
acc_081,acc_083,0,
acc_063,acc_073,0,
acc_121,acc_129,0,
acc_007,acc_044,0,
acc_029,acc_030,0,
acc_085,acc_088,1,same_operator
acc_073,acc_124,0,
acc_081,acc_122,0,
acc_058,acc_084,0,
acc_049,acc_050,1,same_operator
acc_010,acc_055,0,
acc_010,acc_026,0,
acc_048,acc_106,0,PLANTED_HANDOVER
acc_037,acc_084,0,
acc_076,acc_120,0,
acc_008,acc_124,0,
acc_091,acc_110,0,
acc_086,acc_087,1,same_operator
acc_079,acc_101,0,PLANTED_DECOY
acc_065,acc_077,0,
acc_014,acc_042,0,
acc_086,acc_088,1,same_operator
acc_111,acc_113,1,same_operator
acc_057,acc_076,0,
acc_096,acc_101,0,
acc_022,acc_041,0,PLANTED_DECOY
acc_026,acc_090,0,
acc_063,acc_095,0,
acc_068,acc_083,0,
acc_021,acc_061,0,
acc_015,acc_069,0,
acc_038,acc_050,0,
acc_036,acc_108,0,
acc_087,acc_103,0,
acc_092,acc_120,0,
acc_067,acc_109,0,
acc_040,acc_105,0,
acc_060,acc_102,0,
acc_044,acc_046,1,same_operator
acc_079,acc_110,0,
acc_013,acc_135,0,
acc_036,acc_079,0,
acc_005,acc_015,0,
acc_023,acc_115,0,
acc_000,acc_032,0,
acc_079,acc_080,1,same_operator
acc_048,acc_136,0,
acc_097,acc_101,0,
acc_049,acc_136,0,
acc_000,acc_001,1,same_operator
acc_020,acc_115,0,
acc_061,acc_103,0,
acc_052,acc_080,0,
acc_006,acc_024,0,
acc_014,acc_111,0,
acc_001,acc_007,0,
acc_027,acc_044,0,
acc_055,acc_078,0,
acc_087,acc_132,0,
acc_028,acc_122,0,
acc_033,acc_068,0,
acc_005,acc_047,0,
acc_064,acc_118,0,
acc_049,acc_117,0,
acc_039,acc_120,0,
acc_016,acc_047,0,
acc_014,acc_071,0,
acc_036,acc_095,0,
acc_049,acc_087,0,
acc_035,acc_109,0,
acc_088,acc_133,0,
acc_100,acc_115,0,
acc_087,acc_111,0,
acc_009,acc_043,0,
acc_029,acc_098,0,
acc_046,acc_060,0,
acc_033,acc_091,0,
acc_005,acc_083,0,
acc_067,acc_119,0,
acc_011,acc_028,0,
acc_053,acc_075,0,
acc_058,acc_059,1,same_operator
acc_006,acc_015,0,
acc_013,acc_083,0,
acc_008,acc_092,0,
acc_008,acc_020,0,
acc_022,acc_033,0,
acc_011,acc_017,0,
acc_081,acc_093,0,
acc_083,acc_084,1,same_operator
acc_094,acc_126,0,
acc_073,acc_078,0,
acc_032,acc_072,0,
acc_058,acc_109,0,
acc_087,acc_136,0,
acc_074,acc_093,0,
acc_022,acc_023,1,same_operator
acc_038,acc_084,0,
acc_072,acc_091,0,
acc_009,acc_087,0,
acc_003,acc_082,0,
acc_077,acc_078,1,same_operator
acc_065,acc_133,0,
acc_071,acc_072,1,same_operator
acc_003,acc_131,0,
acc_014,acc_116,0,
acc_055,acc_059,0,
acc_026,acc_108,0,
acc_004,acc_115,0,
acc_020,acc_106,0,
acc_017,acc_037,0,
acc_109,acc_136,0,
acc_042,acc_111,0,
acc_014,acc_131,0,
acc_040,acc_090,0,
acc_082,acc_120,0,
acc_057,acc_071,0,
acc_045,acc_129,0,
acc_004,acc_091,0,
acc_086,acc_091,0,
acc_122,acc_132,0,
acc_051,acc_100,0,
acc_070,acc_091,0,
acc_069,acc_105,0,
acc_016,acc_017,1,same_operator
acc_019,acc_028,0,PLANTED_DECOY
acc_018,acc_052,0,
acc_061,acc_128,0,
acc_044,acc_106,0,
acc_130,acc_131,1,same_operator
acc_056,acc_059,1,same_operator
acc_019,acc_116,0,
acc_003,acc_093,0,
acc_064,acc_102,0,
acc_034,acc_059,0,
acc_007,acc_085,0,PLANTED_HANDOVER
acc_020,acc_060,0,
acc_016,acc_072,0,
acc_048,acc_083,0,
acc_021,acc_100,0,
acc_001,acc_021,0,
acc_037,acc_040,0,
acc_035,acc_110,0,
acc_031,acc_067,0,
acc_049,acc_051,1,same_operator
acc_016,acc_095,0,
acc_064,acc_073,0,
acc_112,acc_121,0,
acc_041,acc_050,0,
acc_001,acc_059,0,
acc_058,acc_125,0,
acc_061,acc_125,0,
acc_050,acc_104,0,
acc_056,acc_100,0,
acc_007,acc_026,0,
acc_004,acc_024,0,
acc_102,acc_114,0,
acc_056,acc_057,1,same_operator
acc_013,acc_077,0,
acc_034,acc_061,0,
acc_011,acc_062,0,
acc_071,acc_135,0,
acc_095,acc_107,0,
acc_024,acc_037,0,
acc_064,acc_066,1,same_operator
acc_017,acc_078,0,
acc_000,acc_079,0,
acc_014,acc_135,0,
acc_066,acc_128,0,
acc_042,acc_115,0,PLANTED_DECOY
acc_014,acc_015,1,same_operator
acc_018,acc_110,0,
acc_042,acc_053,0,
acc_028,acc_124,0,
acc_058,acc_106,0,
acc_070,acc_116,0,
acc_080,acc_088,0,
acc_036,acc_082,0,
acc_007,acc_118,0,
acc_007,acc_106,0,
acc_035,acc_066,0,
acc_028,acc_112,0,
acc_016,acc_084,0,
acc_061,acc_075,0,
acc_125,acc_126,1,same_operator
acc_034,acc_131,0,
acc_009,acc_029,0,
acc_029,acc_063,0,
acc_042,acc_108,0,PLANTED_DECOY
acc_012,acc_015,1,same_operator
acc_038,acc_122,0,
acc_062,acc_064,0,
acc_062,acc_090,0,
acc_053,acc_054,1,same_operator
acc_019,acc_049,0,
acc_056,acc_058,1,same_operator
acc_052,acc_072,0,
acc_069,acc_074,0,
acc_102,acc_107,0,
acc_065,acc_066,1,same_operator
acc_087,acc_088,1,same_operator
acc_066,acc_129,0,PLANTED_DECOY
acc_068,acc_098,0,
acc_044,acc_052,0,
acc_041,acc_134,0,
acc_065,acc_067,0,
acc_002,acc_127,0,
acc_071,acc_094,0,
acc_093,acc_099,0,
acc_055,acc_073,0,
acc_063,acc_072,0,
acc_101,acc_106,0,
acc_013,acc_054,0,
acc_009,acc_126,0,
acc_039,acc_079,0,
acc_102,acc_103,0,
acc_069,acc_135,0,
acc_102,acc_118,0,
acc_129,acc_130,1,same_operator
acc_081,acc_082,1,same_operator
acc_056,acc_132,0,
acc_054,acc_101,0,
acc_019,acc_120,0,
acc_024,acc_129,0,
acc_054,acc_055,1,same_operator
acc_011,acc_083,0,
acc_043,acc_063,0,
acc_019,acc_040,0,
acc_001,acc_043,0,
acc_104,acc_128,0,
acc_020,acc_100,0,
acc_117,acc_119,0,
acc_091,acc_126,0,
acc_027,acc_047,0,
acc_075,acc_091,0,
acc_060,acc_098,0,
acc_077,acc_119,0,
acc_133,acc_134,1,same_operator
acc_114,acc_130,0,
acc_008,acc_077,0,
acc_005,acc_130,0,
acc_075,acc_092,0,
acc_019,acc_118,0,
acc_069,acc_070,1,same_operator
acc_004,acc_044,0,
acc_086,acc_116,0,
acc_020,acc_040,0,
acc_056,acc_088,0,
acc_131,acc_132,1,same_operator
acc_015,acc_030,0,
acc_004,acc_089,0,
acc_007,acc_030,0,
acc_011,acc_092,0,
acc_043,acc_092,0,
acc_021,acc_122,0,
acc_103,acc_104,1,same_operator
