  Processed 50 CSV members, 316744 records...
  Processed 100 CSV members, 391094 records...
  Processed 150 CSV members, 829944 records...
  Processed 200 CSV members, 1579311 records...
  Processed 250 CSV members, 2513114 records...
  Processed 300 CSV members, 3517739 records...
  Processed 350 CSV members, 4577583 records...
  Processed 400 CSV members, 5094020 records...
  Processed 450 CSV members, 5313114 records...
  Processed 500 CSV members, 5743816 records...
  Processed 550 CSV members, 5764573 records...
  Processed 600 CSV members, 5788044 records...
  Processed 650 CSV members, 5834873 records...
  Processed 700 CSV members, 6074807 records...
  Processed 750 CSV members, 6075810 records...
  Processed 800 CSV members, 6104735 records...
  Processed 850 CSV members, 6280103 records...
  Processed 900 CSV members, 6694936 records...
  Processed 950 CSV members, 7308141 records...
  Processed 1000 CSV members, 8193249 records...
  Processed 1050 CSV members, 9566754 records...
