account_id,operator_id
acc_000,op_00
acc_001,op_00
acc_002,op_01
acc_003,op_01
acc_004,op_02
acc_005,op_02
acc_006,op_03
acc_007,op_03
acc_008,op_04
acc_009,op_04
acc_010,op_05
acc_011,op_05
acc_012,op_06
acc_013,op_06
acc_014,op_06
acc_015,op_06
acc_016,op_07
acc_017,op_07
acc_018,op_08
acc_019,op_08
acc_020,op_09
acc_021,op_09
acc_022,op_10
acc_023,op_10
acc_024,op_11
acc_025,op_11
acc_026,op_12
acc_027,op_12
acc_028,op_13
acc_029,op_13
acc_030,op_14
acc_031,op_14
acc_032,op_15
acc_033,op_15
acc_034,op_16
acc_035,op_16
acc_036,op_17
acc_037,op_17
acc_038,op_18
acc_039,op_18
acc_040,op_19
acc_041,op_19
acc_042,op_20
acc_043,op_20
acc_044,op_21
acc_045,op_21
acc_046,op_21
acc_047,op_22
acc_048,op_22
acc_049,op_23
acc_050,op_23
acc_051,op_23
acc_052,op_24
acc_053,op_24
acc_054,op_24
acc_055,op_24
acc_056,op_25
acc_057,op_25
acc_058,op_25
acc_059,op_25
acc_060,op_26
acc_061,op_26
acc_062,op_27
acc_063,op_27
acc_064,op_28
acc_065,op_28
acc_066,op_28
acc_067,op_29
acc_068,op_29
acc_069,op_30
acc_070,op_30
acc_071,op_31
acc_072,op_31
acc_073,op_32
acc_074,op_32
acc_075,op_33
acc_076,op_33
acc_077,op_34
acc_078,op_34
acc_079,op_35
acc_080,op_35
acc_081,op_36
acc_082,op_36
acc_083,op_37
acc_084,op_37
acc_085,op_38
acc_086,op_38
acc_087,op_38
acc_088,op_38
acc_089,op_39
acc_090,op_39
acc_091,op_40
acc_092,op_40
acc_093,op_41
acc_094,op_41
acc_095,op_41
acc_096,op_42
acc_097,op_42
acc_098,op_42
acc_099,op_43
acc_100,op_43
acc_101,op_44
acc_102,op_44
acc_103,op_45
acc_104,op_45
acc_105,op_46
acc_106,op_46
acc_107,op_47
acc_108,op_47
acc_109,op_48
acc_110,op_48
acc_111,op_49
acc_112,op_49
acc_113,op_49
acc_114,op_50
acc_115,op_50
acc_116,op_50
acc_117,op_51
acc_118,op_51
acc_119,op_52
acc_120,op_52
acc_121,op_53
acc_122,op_53
acc_123,op_54
acc_124,op_54
acc_125,op_55
acc_126,op_55
acc_127,op_56
acc_128,op_56
acc_129,op_57
acc_130,op_57
acc_131,op_57
acc_132,op_57
acc_133,op_58
acc_134,op_58
acc_135,op_59
acc_136,op_59
